listing_id,date,num_reviews,reviewers
39383042,01/06/2025,1,324496634
39383042,01/11/2024,1,5870520
38111850,01/09/2024,3,"150,739,527,151,366,000,000,000,000"
1808465,01/04/2025,3,"1,027,956,840,204,480,000,000,000"
33036168,01/10/2024,1,650735931
29367839,01/02/2025,1,678057696
29367839,01/10/2024,1,219709232
33036168,01/04/2025,1,220603131
29367839,01/11/2024,1,510186726
33036168,01/01/2025,1,42666507
29900455,01/09/2024,1,32934553
33036168,01/05/2025,1,50641006
32379251,01/11/2024,1,4494749
25314573,01/12/2024,1,430539105
9494739,01/04/2025,1,664035309
9494739,01/09/2024,2,"47,621,531,238,863,100"
16581745,01/10/2024,1,108486215
9494739,01/03/2025,2,"527,643,232,330,780,000"
41159520,01/06/2025,1,99089731
32379251,01/04/2025,1,109844806
25314573,01/11/2024,1,26445704
16581745,01/06/2025,1,133086451
25314573,01/01/2025,1,299313526
25314573,01/06/2025,1,444275756
32379251,01/07/2025,2,"40,626,192,451,197,700"
40199291,01/12/2024,1,165886662
41159520,01/09/2024,1,494433240
9494739,01/02/2025,1,671896660
41159520,01/03/2025,1,125988669
29010398,01/04/2025,1,663092813
25314573,01/07/2025,1,702166697
25314573,01/09/2024,1,288838012
9494739,01/05/2025,1,26061097
9494739,01/01/2025,1,527746863
9494739,01/11/2024,1,160363720
29010398,01/01/2025,1,144116416
9494739,01/07/2025,2,"166,579,353,518,500,000"
4106780,01/11/2024,1,5672363
9494739,01/10/2024,1,219194678
4106780,01/09/2024,1,17436615
37766191,01/03/2025,1,180429548
24206185,01/07/2025,1,87444408
25875366,01/08/2025,1,40262594
38322583,01/09/2024,2,"7,630,762,325,363,860"
40976598,01/10/2024,1,39775278
40976598,01/11/2024,1,547862791
37766191,01/04/2025,1,13644879
38322583,01/04/2025,3,"5,387,821,855,593,960,000,000,000"
38322583,01/07/2025,4,"339,675,596,270,757,000,000,000,000,000,000"
40976598,01/01/2025,1,303172509
24206185,01/04/2025,1,274259470
10578007,01/09/2024,1,452393920
38322583,01/03/2025,5,"1,854,328,574,714,720,000,000,000,000,000,000,000,000,000"
37766191,01/06/2025,2,"2,734,917,702,128,470"
37766191,01/11/2024,2,"1,527,600,865,551,070"
25875366,01/12/2024,2,"9,037,644,795,755,360"
38322583,01/12/2024,2,"519,794,896,100,814,000"
24206185,01/11/2024,1,66972385
