listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
1803821,01/10/2024,19,12,0.387,1535,126.5,127.9,45,4,,16499,16319,198015
1803821,01/01/2025,28,3,0.097,378,124.1,126,62,1,1,16275,16030,48826
1803821,01/08/2025,31,0,0,0,124.9,,,,1,,16138,0
1803821,01/04/2025,30,0,0,0,125.6,,,,1,,16265,0
1803821,01/02/2025,20,8,0.286,1007,126.2,125.9,73,2,1,16262,16301,130072
23577364,01/03/2025,31,0,0,0,39.7,,,,1,,5102,0
23577364,01/08/2025,25,6,0.194,240,39.9,40,1,6,1,5168,5155,31009
23577364,01/10/2024,27,4,0.129,143,35.8,35.8,1,5,,4618,4618,18447
23577364,01/06/2025,27,3,0.1,106,38,35.3,3,7,1,4561,4910,13696
23577364,01/07/2025,15,16,0.516,549,35,34.3,16,5,1,4432,4522,70933
23577364,01/09/2024,30,0,0,0,36.3,,,,,,4689,0
23577364,01/05/2025,28,3,0.097,122,38.3,40.7,8,1,1,5284,4973,15840
23577364,01/04/2025,30,0,0,0,39.6,,,,1,,5128,0
23577364,01/01/2025,31,0,0,0,30.6,,,,1,,3953,0
23577364,01/11/2024,12,18,0.6,646,36.2,35.9,2,5,,4631,4670,83334
23577364,01/12/2024,30,1,0.032,41,42.3,41,2,1,,5310,5478,5310
23577364,01/02/2025,28,0,0,0,38.9,,,,1,,5025,0
32888358,01/07/2025,2,29,0.935,1371,47.5,47.3,15,4,2,6111,6137,177138
22563987,01/04/2025,20,10,0.333,868,86.8,86.8,295,1,,11241,11241,112407
22563987,01/02/2025,19,9,0.321,828,92.5,92,232,1,,11883,11948,106951
22563987,01/05/2025,20,11,0.355,942,86.3,85.6,323,1,,11114,11205,122309
32888358,01/08/2025,2,29,0.935,1248,43,43,20,6,2,5556,5556,161246
5311904,01/02/2025,27,1,0.036,144,137.3,144,72,3,1,18600,17735,18600
22563987,01/06/2025,23,7,0.233,611,87.6,87.3,261,1,,11279,11318,78943
32888358,01/04/2025,2,28,0.933,1174,41.8,41.9,32,4,2,5426,5413,152034
32888358,01/03/2025,2,29,0.935,1171,40.3,40.4,27,5,2,5192,5179,150478
5311904,01/11/2024,30,0,0,0,151.8,,,,,,19582,0
36683442,01/01/2025,10,21,0.677,3029,143,144.2,45,2,1,18626,18471,391255
36683442,01/04/2025,19,11,0.367,1488,131.6,135.3,41,1,1,17521,17042,192697
5311904,01/08/2025,26,5,0.161,700,138.1,140,52,5,1,18089,17843,90443
36683442,01/03/2025,2,29,0.935,4013,138.5,138.4,113,16,1,17785,17798,515686
36683442,01/08/2025,13,18,0.581,2372,131.4,131.8,111,1,1,17029,16977,306471
32888358,01/02/2025,1,27,0.964,1066,39.5,39.5,9,2,2,5102,5102,137693
5311904,01/06/2025,30,0,0,0,144.1,,,,1,,18618,0
22563987,01/10/2024,21,10,0.323,920,92.7,92,162,1,,11868,11958,118680
36683442,01/02/2025,3,25,0.893,3439,137.7,137.6,105,3,1,17773,17786,444208
5311904,01/12/2024,27,4,0.129,599,147.7,149.8,5,4,,19400,19128,77574
22563987,01/01/2025,22,9,0.29,802,89.8,89.1,204,1,,11509,11599,103594
36683442,01/05/2025,9,22,0.71,2898,131.3,131.7,37,4,1,17100,17048,376276
36683442,01/09/2024,9,21,0.7,2874,136.7,136.9,25,1,,17685,17659,371262
36683442,01/12/2024,8,23,0.742,3536,149.6,153.7,53,2,1,19905,19374,457934
32888358,01/10/2024,27,4,0.129,159,40.8,39.8,1,5,,5134,5263,20511
5311904,01/07/2025,31,0,0,0,136.6,,,,1,,17649,0
22563987,01/07/2025,30,1,0.032,86,85.4,86,29,1,2,11112,11034,11112
32888358,01/11/2024,6,24,0.8,1083,45,45.1,6,4,,5818,5805,139707
22563987,01/12/2024,20,11,0.355,1007,92,91.5,209,1,,11850,11915,130413
5311904,01/04/2025,30,0,0,0,149,,,,1,,19296,0
36683442,01/11/2024,14,16,0.533,2233,138.4,139.6,40,2,,18008,17854,288058
5311904,01/05/2025,31,0,0,0,146.5,,,,1,,19022,0
5311904,01/10/2024,31,0,0,0,154.2,,,,,,19892,0
5311904,01/09/2024,30,0,0,0,142.6,,,,,,18421,0
32888358,01/06/2025,1,29,0.967,1325,45.5,45.7,29,7,2,5905,5879,171195
22563987,01/11/2024,20,10,0.333,924,93.1,92.4,176,1,,11920,12010,119196
36683442,01/10/2024,11,20,0.645,2743,137.4,137.2,87,1,,17699,17725,353848
32888358,01/01/2025,13,18,0.581,782,43.8,43.4,32,12,2,5606,5658,101011
36683442,01/06/2025,13,17,0.567,2356,138.5,138.6,51,2,1,17908,17895,304404
22563987,01/03/2025,21,10,0.323,915,92,91.5,264,1,,11758,11822,117581
22563987,01/08/2025,31,0,0,0,84.3,,,,2,,10892,0
22563987,01/09/2024,21,9,0.3,807,90.3,89.7,134,1,,11587,11665,104248
5311904,01/03/2025,26,5,0.161,713,144.1,142.6,77,3,1,18325,18517,91623
36683442,01/07/2025,9,22,0.71,2849,128.4,129.5,132,1,1,16732,16590,368101
32888358,01/09/2024,15,15,0.5,613,40.7,40.9,51,2,,5283,5258,79187
32888358,01/05/2025,7,24,0.774,1022,43.8,42.6,3,3,2,5531,5687,132697
5311904,01/01/2025,31,0,0,0,146.1,,,,1,,18872,0
32888358,01/12/2024,1,30,0.968,1347,44.9,44.9,22,8,2,5815,5815,174445
33036710,01/08/2025,11,20,0.645,781,39.1,39,26,14,1,5039,5052,100908
33036710,01/11/2024,30,0,0,0,76.6,,,,,,9881,0
13176448,01/09/2024,30,0,0,0,76.1,,,,,,9831,0
